age,income,frq,rcn,mnt,clothes,kitchen,small_appliances,toys,house_keeping,dependents,per_net_purchase,gender,education,status,description,birth_year,spent_online,oh_education_2nd Cycle,oh_education_Graduation,oh_education_Master,oh_education_PhD,oh_status_Married,oh_status_Single,oh_status_Together,oh_status_Widow,oh_gender_M,oh_dependents_1.0,oh_description_Kind of OK,oh_description_Meh...,oh_description_OK nice!,oh_description_Take my money!!,PC0,PC1,PC2
78,0.7431616856025945,1.1916045998703195,0.4578189572617142,1402,-0.6170227719693344,-0.24306463667234582,1.216846989894269,0.4958373443186762,-0.49927358669174027,False,-1.2575595250878662,M,Graduation,Together,Take my money!!,1946,0.522054714581021,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8963558426460909,-1.9376972720975931,1.120780940731966
88,1.5594880236059183,1.1000106313154348,-1.5357227726797786,1537,0.16615966533354226,-0.7902276931707367,0.740463955339495,-0.3743742201953605,-0.6319067657776419,False,-1.7986492454979675,F,PhD,Divorced,Take my money!!,1936,-0.23757757587411182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9810919586421243,-1.4214976279157,0.7856247098290934
34,-1.5485420998500168,-0.8234627083371445,0.5574960437587888,44,-0.8345734489979113,1.6720060610720222,-0.37109645862164464,-0.8094800024523788,2.2860231741121937,True,0.9067993565525392,M,Graduation,Married,Kind of OK,1990,-0.9041912461469996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-2.8131081242497755,0.38143970929174037,-0.7808669339296106
69,0.8455282229296603,0.5504468199861264,-1.4028199906836791,888,0.38371034236211915,0.4408891839506428,-0.7680823207506231,-0.08430369869068159,-0.23400722851993705,True,-0.391815972431704,F,Master,Married,OK nice!,1955,0.7855679230309782,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.2470133795707377,-0.5141768394731939,-1.302202794291315
69,0.7824346131536739,1.00841666276055,-0.8712088626992811,1138,0.34020020695640374,-0.24306463667234582,-0.05350776891846189,-0.3743742201953605,-0.36664040760583866,True,-0.44592494447271414,F,Graduation,Together,Take my money!!,1955,1.2371353572320303,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.7819199898537708,-0.7048048606212567,-0.44337557028416147
42,-1.7672225693353727,-0.5486808026724903,0.4245932617626893,56,-0.18192141791218072,-0.6534369290461389,1.5344356795974519,-0.6644447417000394,-0.7645399448635435,True,1.3396711328806203,M,PhD,Single,OK nice!,1982,-0.8356137430024363,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.250141360756499,1.5868473940399876,1.9527444052649066
55,-0.038516387346319,-0.18230492845295138,0.6903988257548883,345,0.8623218318249882,0.03051689157684963,-1.2444653553053973,-0.8094800024523788,0.16389230873776778,True,0.20338272001940746,M,Graduation,Together,OK nice!,1969,-0.11673642197664176,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5140806647788749,1.1541008239140271,-0.5871068635930982
64,-0.0709257284936116,-1.3730265196664528,-0.2731463437168332,41,1.427953592099288,-0.7902276931707367,-1.3238625277311928,-0.6644447417000394,-0.8971731239494452,True,-0.28359802834968373,M,Graduation,Together,Horrible,1960,-0.9682008706218993,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6584963280977301,2.289102345001789,-0.10152110854565394
84,1.4301442883816158,0.9168226942056653,0.7568502167529381,1401,-0.5735126365636191,0.3040984198260451,0.502272438062108,0.35080208356633674,0.2965254878236694,False,-1.3657774691698865,M,Graduation,Divorced,OK nice!,1940,0.3547042505924282,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7659567217232613,-2.1444610866680054,0.42933988470584894
75,0.9894433153855315,0.0008830086568180658,1.354912735735386,774,-0.6170227719693344,1.261633768698229,0.3434780932105166,0.35080208356633674,-0.23400722851993705,False,-1.4739954132519066,M,Master,Single,OK nice!,1949,-0.3694528262983025,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.16930359169346665,-1.6063749538128338,0.6701446133002389
